title,author,runtime
Chilled to the Bone,By: Amanda M. Lee,Length: 8 hrs and 14 mins
Morning Star (2 of 2) (Dramatized Adaptation),By: Pierce Brown,Length: 10 hrs and 29 mins
Pulse,By: Adriana Locke,Length: 6 hrs and 1 min
Emperor's End,By: Kyle Kirrin,Length: 16 hrs and 18 mins
When You Smile,By: Melissa Brayden,Length: 10 hrs and 56 mins
Blackheart,By: Joshua Dalzelle,Length: 8 hrs and 15 mins
Enemy A(n)t the Gates,By: RinoZ,Length: 20 hrs and 49 mins
The Knight,By: Will Wight,Length: Not Yet Known
"Mushoku Tensei: Jobless Reincarnatio, Vol. 18",By: 理不尽な孫の手,Length: 8 hrs and 56 mins
In-Laws vs. Outlaws,"By: Cari Z, L.A. Witt",Length: 3 hrs and 4 mins
Defiance of the Fall 13,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 35 mins
The Grim Reaper Gaffe,By: Amanda M. Lee,Length: 9 hrs and 16 mins
Relever,By: Jane Washington,Length: 14 hrs and 32 mins
A Sage's Legacy,By: Xander Jade,Length: 10 hrs and 28 mins
God of War,By: Rina Kent,Length: 15 hrs
Guilty Mothers,By: Angela Marsons,Length: 8 hrs and 31 mins
Under the Breaking Sky: The Complete Apocalyptic Horror Series,By: Nick Clausen,Length: 59 hrs and 36 mins
Relentless Devil,By: Kylie Kent,Length: 5 hrs and 33 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 36 mins
Murder on the French Riviera,By: Helena Dixon,Length: 7 hrs and 13 mins
